EG	ECK	Gene	Syn	Protein	GI	SP	b#	
EG10105	ECK3728	atpH	papE, uncH	F1 sector of membrane-bound ATP synthase, delta subunit	; 1790173	P0ABA4	b3735
EG10106	ECK3732	atpI	uncI	ATP synthase, membrane-bound accessory factor	; 87082325	P0ABC0	b3739
EG10107	ECK3561	avtA	None	valine-pyruvate aminotransferase; transaminase C; alanine-valine transaminase	; 48994949	P09053	b3572
EG10108	ECK2476	bcp	None	peroxiredoxin; thiol peroxidase, thioredoxin-dependent	; 1788825	P0AE52	b2480
EG10109	ECK0309	betA	None	choline dehydrogenase, a flavoprotein	; 1786503	P17444	b0311
EG10110	ECK0310	betB	None	betaine aldehyde dehydrogenase, NAD-dependent	; 1786504	P17445	b0312
EG10111	ECK0311	betI	None	choline-inducible betIBA-betT divergent operon transcriptional repressor	; 1786505	P17446	b0313
EG10112	ECK0312	betT	None	choline transporter of high affinity	; 1786506	P0ABC9	b0314
EG10113	ECK3323	bfr	None	bacterioferritin, iron storage and detoxification protein	; 1789733	P0ABD3	b3336
EG10114	ECK3714	bglB	None	cryptic phospho-beta-glucosidase B	; 2367270	P11988	b3721
EG10115	ECK3715	bglF	bglC, bglS	fused beta-glucoside-specific PTS enzymes: IIA component/IIB component/IIC component	; 1790159	P08722	b3722
EG10116	ECK3716	bglG	bglC, bglR, bglS	transcriptional antiterminator of the bgl operon	; 1790160	P11989	b3723
EG10117	ECK0763	bioA	None	7,8-diaminopelargonic acid synthase, PLP-dependent	; 1786991	P12995	b0774
EG10118	ECK0764	bioB	None	biotin synthase	; 1786992	P12996	b0775
EG10119	ECK0766	bioC	None	malonyl-ACP O-methyltransferase, SAM-dependent	; 1786994	P12999	b0777
EG10120	ECK0767	bioD	None	dethiobiotin synthetase	; 1786995	P13000	b0778
EG10121	ECK0765	bioF	None	8-amino-7-oxononanoate synthase	; 1786993	P12998	b0776
EG10122	ECK3399	bioH	bioB	pimeloyl-ACP methyl ester carboxylesterase	; 1789817	P13001	b3412
EG10123	ECK3965	birA	bioR, dhbB	bifunctional biotin-[acetylCoA carboxylase] holoenzyme synthetase/ DNA-binding transcriptional repressor, bio-5'-AMP-binding	; 1790408	P06709	b3973
EG10124	ECK3538	bisC	None	biotin sulfoxide reductase	; 87082288	P20099	b3551
EG10125	ECK0429	bolA	None	stationary-phase morphogene, transcriptional repressor for mreB; also regulator for dacA, dacC, and ampC	; 87081740	P0ABE2	b0435
EG10126	ECK3958	btuB	bfe, cer, dcrC	vitamin B12/cobalamin outer membrane transporter	; 1790405	P06129	b3966
EG10127	ECK1709	btuC	None	vitamin B12 ABC transporter permease	; 1788004	P06609	b1711
EG10128	ECK1707	btuD	None	vitamin B12 ABC transporter ATPase	; 1788002	P06611	b1709
EG10129	ECK1708	btuE	None	glutathione peroxidase	; 1788003	P06610	b1710
EG10130	ECK1264	btuR	cobA(S.t.)	cob(I)yrinic acid a,c-diamide adenosyltransferase	; 1787525	P0A9H5	b1270
EG10131	ECK4125	cadA	ldcI	lysine decarboxylase, acid-inducible	; 1790573	P0A9H3	b4131
EG10132	ECK4126	cadB	None	putative lysine/cadaverine transporter	; 1790575	P0AAE8	b4132
EG10133	ECK4127	cadC	None	cadBA operon transcriptional activator	; 1790576	P23890	b4133
EG10134	ECK0033	carA	arg, cap, pyrA	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	; 1786215	P0A6F1	b0032
EG10135	ECK0034	carB	cap, pyrA	carbamoyl-phosphate synthase large subunit	; 1786216	P00968	b0033
EG10136	ECK3046	cca	None	fused tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase and phosphatase	; 1789436	P06961	b3056
EG10137	ECK2136	cdd	None	cytidine/deoxycytidine deaminase	; 1788465	P0ABF6	b2143
EG10138	ECK3910	cdh	pnuE(S.t.), ushB(S.t.)	CDP-diacylglycerol phosphotidylhydrolase	; 1790352	P06282	b3918
EG10139	ECK0174	cdsA	None	CDP-diglyceride synthase	; 87081696	P0ABG1	b0175
EG10140	ECK1736	chbB	celA	N,N'-diacetylchitobiose-specific enzyme IIB component of PTS	; 1788034	P69795	b1738
EG10141	ECK1735	chbC	celB	N,N'-diacetylchitobiose-specific enzyme IIC component of PTS	; 1788032	P17334	b1737
EG10142	ECK1734	chbA	celC	N,N'-diacetylchitobiose-specific enzyme IIA component of PTS	; 1788031	P69791	b1736
EG10143	ECK1733	chbR	celD	repressor of chb operon for N,N'-diacetylchitobiose utilization	; 1788030	P17410	b1735
EG10144	ECK1732	chbF	celF, ydjD	phospho-chitobiase; general 6-phospho-beta-glucosidase activity	; 1788029	P17411	b1734
EG10145	ECK4392	creD	cet, refII	inner membrane protein	; 1790862	P08369	b4400
EG10146	ECK1889	cheA	None	fused chemotactic sensory histidine kinase in two-component regulatory system with CheB and CheY: sensory histidine kinase/signal sensing protein	; 1788197	P07363	b1888
EG10147	ECK1884	cheB	None	fused chemotaxis regulator: protein-glutamate methylesterase in two-component regulatory system with CheA	; 1788192	P07330	b1883
EG10148	ECK1885	cheR	cheX	chemotaxis regulator, protein-glutamate methyltransferase	; 1788193	P07364	b1884
EG10149	ECK1888	cheW	None	purine-binding chemotaxis protein	; 1788196	P0A964	b1887
EG10150	ECK1883	cheY	None	chemotaxis regulator transmitting signal to flagellar motor component	; 1788191	P0AE67	b1882
EG10151	ECK1882	cheZ	None	chemotaxis regulator, protein phosphatase for CheY	; 1788190	P0A9H9	b1881
EG10152	ECK0754	modC	chlD, narD	molybdate ABC transporter ATPase; chlorate resistance protein	; 1786981	P09833	b0765
EG10153	ECK0817	moeA	bisB, chlE, narE	molybdopterin molybdenumtransferase; molybdopterin biosynthesis protein	; 1787049	P12281	b0827
EG10154	ECK0816	moeB	chlN	molybdopterin synthase sulfurylase	; 1787048	P12282	b0826
EG10155	ECK2148	cirA	cir, feuA	colicin IA outer membrane receptor and translocator; ferric iron-catecholate transporter	; 1788478	P17315	b2155
EG10156	ECK0873	clpA	lopD	ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity	; 1787109	P0ABH9	b0882
EG10157	ECK2590	clpB	htpM	protein disaggregation chaperone	; 1788943	P63284	b2592
EG10158	ECK0431	clpP	lopP, wseA	proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases	; 1786641	P0A6G7	b0437
EG10159	ECK0432	clpX	lopC	ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease	; 1786642	P0A6H1	b0438
EG10160	ECK4209	cpdB	None	2':3'-cyclic-nucleotide 2'-phosphodiesterase	; 1790658	P08331	b4213
EG10161	ECK2043	cpsB	manC, mni, rfbM	mannose-1-phosphate guanyltransferase	; 1788362	P24174	b2049
EG10162	ECK2042	cpsG	manB, rfbK	phosphomannomutase	; 1788361	P24175	b2048
EG10163	ECK3904	cpxA	ecfB, eup, rssE, ssd	sensory histidine kinase in two-component regulatory system with CpxR	; 1790346	P0AE82	b3911
EG10164	ECK3345	crp	cap, csm	cAMP-activated global transcription factor, mediator of catabolite repression	; 1789756	P0ACJ8	b3357
EG10165	ECK2412	crr	gsr, iex, tgs, treD	glucose-specific enzyme IIA component of PTS	; 1788757	P69783	b2417
EG10166	ECK3543	cspA	None	RNA chaperone and antiterminator, cold-inducible 	; 1789979	P0A9X9	b3556
EG10167	ECK0591	cstA	dppG?, ybdC	carbon starvation protein involved in peptide utilization; APC peptide transporter family protein	; 1786814	P15078	b0598
EG10168	ECK0649	lnt	cutE	apolipoprotein N-acyltransferase	; 1786878	P23930	b0657
EG10169	ECK2307	cvpA	dedE	colicin V production protein	; 1788652	P08550	b2313
EG10170	ECK3800	cyaA	cya	adenylate cyclase	; 1790238	P00936	b3806
EG10172	ECK1410	cybB	None	cytochrome b561	; 87081903	P0ABE5	b1418
EG10173	ECK0721	cydA	None	cytochrome d terminal oxidase, subunit I	; 87081779	P0ABJ9	b0733
EG10174	ECK0722	cydB	None	cytochrome d terminal oxidase, subunit II	; 1786954	P0ABK2	b0734
EG10175	ECK0337	cynS	cnt	cyanate aminohydrolase	; 1786535	P00816	b0340
EG10176	ECK0336	cynT	None	carbonic anhydrase	; 1786534	P0ABE9	b0339
EG10177	ECK0338	cynX	None	putative cyanate transporter	; 1786536	P17583	b0341
EG10178	ECK0426	cyoA	None	cytochrome o ubiquinol oxidase subunit II	; 1786635	P0ABJ1	b0432
EG10179	ECK0425	cyoB	None	cytochrome o ubiquinol oxidase subunit I	; 1786634	P0ABI8	b0431
EG10180	ECK0424	cyoC	None	cytochrome o ubiquinol oxidase subunit III	; 1786633	P0ABJ3	b0430
EG10181	ECK0423	cyoD	None	cytochrome o ubiquinol oxidase subunit IV	; 1786632	P0ABJ6	b0429
EG10182	ECK0422	cyoE	None	protoheme IX farnesyltransferase	; 1786631	P0AEA5	b0428
EG10183	ECK2417	cysA	None	sulfate/thiosulfate transporter subunit	; 1788761	P16676	b2422
EG10184	ECK1269	cysB	None	N-acetylserine-responsive cysteine regulon transcriptional activator; autorepressor	; 1787530	P0A9F3	b1275
EG10185	ECK2745	cysC	None	adenosine 5'-phosphosulfate kinase	; 1789107	P0A6J1	b2750
EG10186	ECK2747	cysD	None	sulfate adenylyltransferase, subunit 2	; 1789109	P21156	b2752
EG10187	ECK3597	cysE	None	serine acetyltransferase	; 1790035	P0A9D4	b3607
EG10188	ECK3356	cysG	None	fused siroheme synthase 1,3-dimethyluroporphyriongen III dehydrogenase and siroheme ferrochelatase/uroporphyrinogen methyltransferase	; 1789768	P0AEA8	b3368
EG10189	ECK2757	cysH	None	phosphoadenosine phosphosulfate reductase; PAPS reductase, thioredoxin dependent	; 1789121	P17854	b2762
EG10190	ECK2758	cysI	None	sulfite reductase, beta subunit, NAD(P)-binding, heme-binding	; 1789122	P17846	b2763
EG10191	ECK2759	cysJ	None	sulfite reductase, alpha subunit, flavoprotein	; 1789123	P38038	b2764
EG10192	ECK2409	cysK	cysZ	cysteine synthase A, O-acetylserine sulfhydrolase A subunit	; 1788754	P0ABK5	b2414
EG10193	ECK2416	cysM	None	cysteine synthase B (O-acetylserine sulfhydrolase B)	; 2367138	P16703	b2421
EG10194	ECK2746	cysN	None	sulfate adenylyltransferase, subunit 1	; 1789108	P23845	b2751
EG10195	ECK2420	cysP	None	thiosulfate-binding protein	; 1788765	P16700	b2425
EG10196	ECK0519	cysS	None	cysteinyl-tRNA synthetase	; 1786737	P21888	b0526
EG10197	ECK2419	cysU	cysT	sulfate/thiosulfate ABC transporter permease	; 1788764	P16701	b2424
EG10198	ECK2418	cysW	None	sulfate/thiosulfate ABC transporter permease	; 87082099	P0AEB0	b2423
EG10200	ECK3926	cytR	None	Anti-activator for CytR-CRP nucleoside utilization regulon	; 1790369	P0ACN7	b3934
EG10201	ECK0625	dacA	pfv	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)	; 1786851	P0AEB2	b0632
EG10202	ECK3171	dacB	None	D-alanyl-D-alanine carboxypeptidase	; 1789573	P24228	b3182
EG10203	ECK0829	dacC	None	D-alanyl-D-alanine carboxypeptidase; penicillin-binding protein 6a	; 1787062	P08506	b0839
EG10204	ECK3374	dam	None	DNA adenine methyltransferase	; 1789789	P0AEE8	b3387
EG10205	ECK2474	dapA	None	dihydrodipicolinate synthase	; 1788823	P0A6L2	b2478
EG10206	ECK0032	dapB	None	dihydrodipicolinate reductase	; 1786214	P04036	b0031
EG10207	ECK0164	dapD	ssa	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	; 1786362	P0A9D8	b0166
EG10208	ECK2467	dapE	msgB	N-succinyl-diaminopimelate deacylase	; 1788816	P0AED7	b2472
EG10209	ECK3804	dapF	None	diaminopimelate epimerase	; 87082334	P0A6K1	b3809
EG10210	ECK1340	dbpA	rhlC	ATP-dependent RNA helicase, specific for 23S rRNA	; 1787605	P21693	b1343
EG10211	ECK1959	dcm	mec	DNA cytosine methyltransferase	; 1788271	P0AED9	b1961
EG10212	ECK1531	dcp	None	dipeptidyl carboxypeptidase II	; 1787819	P24171	b1538
EG10213	ECK0376	ddlA	None	D-alanine-D-alanine ligase A	; 1786579	P0A6J8	b0381
EG10214	ECK0093	ddlB	ddl	D-alanine:D-alanine ligase	; 1786280	P07862	b0092
EG10215	ECK3150	deaD	csdA, mssB, rhlD	ATP-dependent RNA helicase	; 87082221	P0A9P6	b3162
EG10216	ECK2311	dedA	None	DedA family inner membrane protein	; 1788656	P0ABP6	b2317
EG10217	ECK2310	accD	dedB, usg	acetyl-CoA carboxylase, beta (carboxyltransferase) subunit	; 1788655	P0A9Q5	b2316
EG10218	ECK2308	dedD	None	membrane-anchored periplasmic protein involved in septation	; 87082083	P09549	b2314
EG10219	ECK4374	deoA	TP, tpp, ttg	thymidine phosphorylase	; 1790842	P07650	b4382
EG10220	ECK4375	deoB	drm, thyR, tlr	phosphopentomutase	; 1790843	P0A6K6	b4383
EG10221	ECK4373	deoC	dra, thyR, tlr	2-deoxyribose-5-phosphate aldolase, NAD(P)-linked	; 1790841	P0A6L0	b4381
EG10222	ECK4376	deoD	pup	purine nucleoside phosphorylase 1; nicotinamide 1-beta-D-riboside phosphorylase	; 1790844	P0ABP8	b4384
EG10223	ECK0830	deoR	nucR	deoxyribose-5-phosphate-inducible deoxyribose operon transcriptional repressor; repressor of nupG and tsx	; 1787063	P0ACK5	b0840
EG10224	ECK4034	dgkA	None	diacylglycerol kinase	; 1790475	P0ABN1	b4042
EG10225	ECK0159	dgt	optA	deoxyguanosine triphosphate triphosphohydrolase	; 1786355	P15723	b0160
EG10226	ECK1564	dicA	ftsT	Qin prophage; putative regulator for DicB	; 1787853	P06966	b1570
EG10227	ECK1569	dicB	ftsT	Qin prophage; cell division inhibition protein	; 1787857	P09557	b1575
EG10228	ECK1563	dicC	ftsT	Qin prophage; DNA-binding transcriptional regulator for DicB	; 1787852	P06965	b1569
EG10229	ECK2315	flk	div, rflH	putative flagella assembly protein	; 1788661	P15286	b2321
EG10230	ECK0144	dksA	msmA	transcriptional regulator of rRNA transcription; DnaK suppressor protein	; 1786338	P0ABS1	b0145
EG10231	ECK2126	dld	None	D-lactate dehydrogenase, FAD-binding, NADH independent	; 1788454	P06149	b2133
EG10232	ECK0885	dmsA	None	dimethyl sulfoxide reductase, anaerobic, subunit A	; 87081797	P18775	b0894
EG10233	ECK0886	dmsB	None	dimethyl sulfoxide reductase, anaerobic, subunit B	; 1787122	P18776	b0895
EG10234	ECK0887	dmsC	None	dimethyl sulfoxide reductase, anaerobic, subunit C	; 1787123	P18777	b0896
EG10235	ECK3694	dnaA	hsm-2	chromosomal replication initiator protein DnaA, DNA-binding transcriptional dual regulator	; 2367267	P03004	b3702
EG10236	ECK4044	dnaB	groP, grpA, grpD	replicative DNA helicase	; 1790486	P0ACB0	b4052
EG10237	ECK4351	dnaC	dnaD	DNA biosynthesis protein	; 1790823	P0AEF0	b4361
EG10238	ECK0183	dnaE	polC, sdgC	DNA polymerase III alpha subunit	; 1786381	P10443	b0184
EG10239	ECK3056	dnaG	dnaP, parB, sdgA	DNA primase	; 1789447	P0ABS5	b3066
EG10240	ECK0015	dnaJ	faa, groP, grpC	chaperone Hsp40, DnaK co-chaperone	; 1786197	P08622	b0015
EG10241	ECK0014	dnaK	groPAB, groPC, groPF, grpC, grpF, seg	chaperone Hsp70, with co-chaperone DnaJ	; 1786196	P0A6Y8	b0014
EG10242	ECK3693	dnaN	None	DNA polymerase III, beta subunit	; 1790136	P0A988	b3701
EG10243	ECK0215	dnaQ	mutD	DNA polymerase III epsilon subunit	; 1786409	P03007	b0215
EG10244	ECK4352	dnaT	None	DNA biosynthesis protein (primosomal protein I)	; 1790824	P0A8J2	b4362
EG10245	ECK0464	dnaX	dnaZ	DNA polymerase III/DNA elongation factor III, tau and gamma subunits	; 1786676	P06710	b0470
EG10246	ECK0211	mltD	dniR, yafG	putative membrane-bound lytic murein transglycosylase D	; 1786405	P0AEZ7	b0211
EG10247	ECK2561	acpS	dpj	holo-[acyl-carrier-protein] synthase 1	; 1788916	P24224	b2563
EG10248	ECK3531	dppA	alu, dpp, fpp	dipeptide/heme ABC transporter periplasmic binding protein; dipeptide chemotaxis receptor	; 1789966	P23847	b3544
EG10249	ECK2362	dsdA	None	D-serine dehydratase	; 1788708	P00926	b2366
EG10250	ECK2361	dsdX	dsdC, yfdA, yfdD	D-serine transporter	; 1788707	P08555	b2365
