gene_id	KO	symbol	error	bnum
16355_nanT_1	K03290	nanT	No	b3224
15843_ygbN	K03299	ygbN	No	b4296
16276_agaC_3	K10985	agaC	No	b3139
16353_nanK_2	NA	nanK	No	b3222
16273_agaS	K02082	agaS	No	b3136
15840_hypothetical_protein	NA	ygbK	No	b1316
17935_lacY_2	K02532	lacY	No	b0343
15841_fucA_1	NA	ygbL	No	b2738
15839_garR_1	K08319	ygbJ	No	b2736
15842_ygbM	NA	ygbM	No	b2739
1888_thlA_1	K00626	atoB	No	b2844
1887_atoE	K02106	atoE	No	b2223
1886_atoA	NA	atoA	No	b2222
1885_atoD	NA	atoD	No	b2221
