"","GO.ID","Term","Annotated","Significant","Expected","elimFisher","genesInTerm","DEGenesInTerm"
"27","GO:0034219","carbohydrate transmembrane transport",8,6,2.47,"0.01251","chbA,fruA,gatA,gatB,srlE,treB,ulaA,yiaO",""
"28","GO:0044282","small molecule catabolic process",66,41,20.36,"0.01372","acs,adiA,agp,aidB,araA,araB,araD,asnB,astC,astD,caiA,dgoA,dgoD,dgoK,dkgB,fadE,fixB,fucA,fucI,fucK,fucO,gabD,gabT,galE,galK,galT,galU,garD,garK,garR,gcvH,gcvT,gldA,gloB,glyA,hchA,kdgK,kduD,kduI,lldD,ltaE,nagA,nagB,nanA,pfkA,pta,rbsD,rbsK,rhaA,rhaB,rpe,sgbE,tdcB,tdcD,tdcE,tdcG,uxaA,uxaB,uxaC,uxuA,uxuB,ybcF,ydiO,ydiR,ygeX,yqeA","araA,araB,araD,gcvH,gcvT"
"29","GO:0043241","protein complex disassembly",15,9,4.63,"0.01725","cspA,cspC,cspE,nusA,nusG,pepA,prfA,prfC,prmC,rfaH,rplK,rpsD,rpsJ,ybeY,yqgF",""
"30","GO:0032984","macromolecular complex disassembly",15,9,4.63,"0.01725","cspA,cspC,cspE,nusA,nusG,pepA,prfA,prfC,prmC,rfaH,rplK,rpsD,rpsJ,ybeY,yqgF",""
"31","GO:0022411","cellular component disassembly",15,9,4.63,"0.01725","cspA,cspC,cspE,nusA,nusG,pepA,prfA,prfC,prmC,rfaH,rplK,rpsD,rpsJ,ybeY,yqgF",""
"32","GO:0042710","biofilm formation",20,11,6.17,"0.01960","ackA,bssR,bssS,csgA,csgB,csgD,csgE,csgG,fumB,glgS,gutQ,ybjN,yceO,ychH,yggN,ygiB,ygiW,yoaB,yoeB,yqcC","csgD,fumB"
"33","GO:0044010","single-species biofilm formation",20,11,6.17,"0.01960","ackA,bssR,bssS,csgA,csgB,csgD,csgE,csgG,fumB,glgS,gutQ,ybjN,yceO,ychH,yggN,ygiB,ygiW,yoaB,yoeB,yqcC","csgD,fumB"
"34","GO:0015849","organic acid transport",30,15,9.26,"0.01970","aroP,artJ,artM,artP,artQ,cadB,cydC,eamA,gabP,gadC,glnP,gltK,hisM,livF,livH,livJ,livM,lysP,proP,proY,sstT,tdcC,tnaB,yddG,ydgI,ygaH,ygaZ,ygjI,yjeH,yjeM",""
"35","GO:0006865","amino acid transport",30,15,9.26,"0.01970","aroP,artJ,artM,artP,artQ,cadB,cydC,eamA,gabP,gadC,glnP,gltK,hisM,livF,livH,livJ,livM,lysP,proP,proY,sstT,tdcC,tnaB,yddG,ydgI,ygaH,ygaZ,ygjI,yjeH,yjeM",""
"36","GO:1902475","L-alpha-amino acid transmembrane transpo...",11,7,3.39,"0.02406","gabP,gadC,livF,lysP,proY,ydgI,ygaH,ygaZ,ygjI,yjeH,yjeM",""
"37","GO:0046395","carboxylic acid catabolic process",42,24,12.96,"0.02720","acs,adiA,aidB,asnB,astC,astD,caiA,dgoA,dgoD,dgoK,fadE,fixB,gabD,gabT,garD,garK,garR,gcvH,gcvT,glyA,kdgK,kduD,kduI,ltaE,nagA,nagB,nanA,pta,tdcB,tdcD,tdcE,tdcG,uxaA,uxaB,uxaC,uxuA,uxuB,ybcF,ydiO,ydiR,ygeX,yqeA","gcvH,gcvT"
"38","GO:0046176","aldonic acid catabolic process",3,3,0.93,"0.02877","dgoA,dgoD,dgoK",""
"39","GO:1901159","xylulose 5-phosphate biosynthetic proces...",3,3,0.93,"0.02877","araA,araB,araD","araA,araB,araD"
"40","GO:0051167","xylulose 5-phosphate metabolic process",3,3,0.93,"0.02877","araA,araB,araD","araA,araB,araD"
"41","GO:0015774","polysaccharide transport",3,3,0.93,"0.02877","malE,malG,malK","malE"
"42","GO:0046372","D-arabinose metabolic process",3,3,0.93,"0.02877","fucA,fucI,fucK",""
"43","GO:0046373","L-arabinose metabolic process",3,3,0.93,"0.02877","araA,araB,araD","araA,araB,araD"
"44","GO:0019569","L-arabinose catabolic process to xylulos...",3,3,0.93,"0.02877","araA,araB,araD","araA,araB,araD"
"45","GO:0019583","galactonate metabolic process",3,3,0.93,"0.02877","dgoA,dgoD,dgoK",""
"46","GO:0019584","galactonate catabolic process",3,3,0.93,"0.02877","dgoA,dgoD,dgoK",""
"47","GO:0033037","polysaccharide localization",3,3,0.93,"0.02877","malE,malG,malK","malE"
"48","GO:0019571","D-arabinose catabolic process",3,3,0.93,"0.02877","fucA,fucI,fucK",""
"49","GO:0019572","L-arabinose catabolic process",3,3,0.93,"0.02877","araA,araB,araD","araA,araB,araD"
"50","GO:0019520","aldonic acid metabolic process",3,3,0.93,"0.02877","dgoA,dgoD,dgoK",""
"51","GO:0007155","cell adhesion",3,3,0.93,"0.02877","csgA,csgB,yehD","yehD"
"52","GO:0034192","D-galactonate metabolic process",3,3,0.93,"0.02877","dgoA,dgoD,dgoK",""
"53","GO:0034194","D-galactonate catabolic process",3,3,0.93,"0.02877","dgoA,dgoD,dgoK",""
"54","GO:0042956","maltodextrin transport",3,3,0.93,"0.02877","malE,malG,malK","malE"
"55","GO:0006551","leucine metabolic process",5,4,1.54,"0.03321","ilvE,leuB,leuC,leuD,tyrB",""
"56","GO:0010501","RNA secondary structure unwinding",5,4,1.54,"0.03321","dbpA,deaD,rhlB,rhlE,srmB",""
"57","GO:0009098","leucine biosynthetic process",5,4,1.54,"0.03321","ilvE,leuB,leuC,leuD,tyrB",""
"58","GO:0015980","energy derivation by oxidation of organi...",63,30,19.44,"0.03649","acnA,acnB,appB,appC,bisC,cyoA,cyoB,cyoC,cyoD,dld,dmsC,fdnG,fdnH,fdnI,fdoG,fdoH,fdoI,fnr,frdA,frdB,frdC,frdD,fumB,glgA,glgB,glgC,glpA,glpB,glpC,glpD,hyaA,hybB,hybC,hydN,lldD,mdh,napA,napB,napC,narI,narV,narY,nirD,nrfA,nrfC,nrfD,nuoB,nuoE,nuoG,nuoH,nuoM,nuoN,pgm,sdhA,sdhB,sdhD,sucA,sucB,sucC,sucD,torC,torS,yahF","fumB"
"59","GO:0046365","monosaccharide catabolic process",20,15,6.17,"0.03961","agp,araA,araB,araD,fucA,fucI,fucK,fucO,galE,galK,galT,galU,lldD,pfkA,rbsD,rbsK,rhaA,rhaB,rpe,sgbE","araA,araB,araD"
"60","GO:0034470","ncRNA processing",22,11,6.79,"0.04401","alaS,iscS,miaA,mnmA,rbfA,rbn,rimM,rlmL,rluD,rnpA,rnr,rsmB,rsuA,trmA,trmD,trmH,truA,truB,truC,tusA,ybeY,yfiC",""
"61","GO:0097588","archaeal or bacterial-type flagellum-dep...",17,9,5.25,"0.04523","chaC,cheY,flgB,flgD,flgI,fliS,fliT,frdA,frdB,frdC,glgS,motA,ybjN,ycdY,ycgR,ydiV,yfiR","flgB"
"62","GO:0071973","bacterial-type flagellum-dependent cell ...",17,9,5.25,"0.04523","chaC,cheY,flgB,flgD,flgI,fliS,fliT,frdA,frdB,frdC,glgS,motA,ybjN,ycdY,ycgR,ydiV,yfiR","flgB"
"63","GO:1905039","carboxylic acid transmembrane transport",17,9,5.25,"0.04523","aroP,artM,cadB,gabP,gadC,glnP,gltK,livF,lysP,proY,tnaB,ydgI,ygaH,ygaZ,ygjI,yjeH,yjeM",""
"64","GO:0003333","amino acid transmembrane transport",17,9,5.25,"0.04523","aroP,artM,cadB,gabP,gadC,glnP,gltK,livF,lysP,proY,tnaB,ydgI,ygaH,ygaZ,ygjI,yjeH,yjeM",""
"65","GO:0032259","methylation",17,9,5.25,"0.04523","cfa,dam,gcvT,metE,mnmA,pcm,prmB,prmC,rlmL,rsmB,smtA,trmA,trmD,trmH,ubiE,yfiC,yhdJ","gcvT"
"66","GO:0001539","cilium or flagellum-dependent cell motil...",17,9,5.25,"0.04523","chaC,cheY,flgB,flgD,flgI,fliS,fliT,frdA,frdB,frdC,glgS,motA,ybjN,ycdY,ycgR,ydiV,yfiR","flgB"
"67","GO:1903825","organic acid transmembrane transport",17,9,5.25,"0.04523","aroP,artM,cadB,gabP,gadC,glnP,gltK,livF,lysP,proY,tnaB,ydgI,ygaH,ygaZ,ygjI,yjeH,yjeM",""
"68","GO:0043933","macromolecular complex subunit organizat...",65,33,20.06,"0.04769","ansB,argH,argR,aspA,baeR,ccmE,ccmF,ccmG,ccmH,chbA,csgD,cspA,cspC,cspE,cutA,dbpA,deaD,deoR,dnaK,fabI,fbp,kdsA,lysP,metF,mntR,mraZ,nagA,narJ,narW,norV,nusA,nusG,obgE,oxyR,pepA,pfkA,phoB,prfA,prfC,prmC,purB,pykA,pykF,rfaH,rhlE,rimM,rluD,rplE,rplK,rplT,rpoZ,rpsD,rpsG,rpsJ,rpsP,rpsS,sdhD,sdiA,seqA,srmB,ssuE,ybeY,ydiF,yidC,yqgF","csgD,sdiA"
"69","GO:0015749","monosaccharide transport",20,15,6.17,"0.04832","araF,araG,araH,fruA,fruB,fucP,galP,manX,manY,manZ,mglA,rbsB,rbsC,xylF,xylG,yjfF,yphD,ytfQ,ytfR,ytfT","mglA"
"70","GO:0006091","generation of precursor metabolites and ...",73,33,22.52,"0.04877","acnA,acnB,appB,appC,bisC,cyoA,cyoB,cyoC,cyoD,dld,dmsC,dsbB,eno,fdnG,fdnH,fdnI,fdoG,fdoH,fdoI,fnr,frdA,frdB,frdC,frdD,fumB,glgA,glgB,glgC,glk,glpA,glpB,glpC,glpD,hyaA,hybB,hybC,hydN,lldD,mdh,napA,napB,napC,narI,narV,narY,nirD,nrfA,nrfC,nrfD,nuoB,nuoE,nuoG,nuoH,nuoM,nuoN,pfkA,pfkB,pgi,pgk,pgm,pykA,pykF,sdhA,sdhB,sdhD,sucA,sucB,sucC,sucD,torC,torS,tpiA,yahF","fumB"
