,LocusTag,Length,Entry,EntryName,Status,ProteinNames,GeneNames,LocusTag,UpdatedSymbol,Symbol_gtf,x77459_Emp1_1,x77460_Emp2_2,x77461_Emp3_3,x77456_TosR1_1,x77457_TosR2_2,x77458_TosR3_3,logFC,logCPM,LR,PValue,FDR,DE
2782,c4924,388,A0A0H2VCV5,A0A0H2VCV5_ECOL6,unreviewed,Putative hippuricase,c4924,c4924,,c4924,0,0,0.241739219,6.584068954,4.533034584,10.6120895,6.568331106,1.976159765,90.23728451,2.11E-21,6.13E-19,yes
2576,c4589,588,Q8FBX7,ADEC_ECOL6,reviewed,Adenine deaminase (Adenase) (Adenine aminase) (EC 3.5.4.2),ade c4589,c4589,ade,yicP,1.363230941,1.525313188,0.604348047,17.78853717,22.81139984,36.80155809,4.419504655,3.77402473,84.16653977,4.55E-20,1.21E-17,yes
52,c0092,40,A0A0H2V423,A0A0H2V423_ECOL6,unreviewed,Uncharacterized protein,c0092,c0092,,c0092,0,0.063554716,0,3.638564422,5.70284996,3.504910295,6.622600973,1.205121317,80.96651956,2.30E-19,5.64E-17,yes
203,c0360,415,A0A0H2V553,A0A0H2V553_ECOL6,unreviewed,Uncharacterized protein,c0360,c0360,,c0360,2.862784977,2.47863393,3.021740235,94.54491998,30.70765363,40.30646839,4.312930883,4.883433926,79.0841022,5.95E-19,1.36E-16,yes
2043,c3724,499,A0A0H2VAV4,A0A0H2VAV4_ECOL6,unreviewed,Phosphate transporter,pitB c3724,c3724,pitB,pitB,0.136323094,0.699101878,0.483478438,13.34140288,22.22649215,8.859634356,4.901668103,2.950355637,78.01796322,1.02E-18,2.17E-16,yes
1289,c2330,244,A0A0H2V844,A0A0H2V844_ECOL6,unreviewed,Regulatory protein sdiA,sdiA c2330,c2330,sdiA,sdiA,22.49331053,41.50122964,32.15131611,3.292034477,1.754723065,2.628682721,-3.607475452,4.134592737,76.02305576,2.80E-18,5.60E-16,yes
2382,c4210,150,A0A0H2VE79,A0A0H2VE79_ECOL6,unreviewed,Putative minor fimbrial subunit,c4210,c4210,,c4210,0.272646188,0.127109432,0.483478438,8.605493633,24.27366906,6.230951635,5.524000686,2.728544178,65.50001741,5.81E-16,1.09E-13,yes
2306,c4109,900,A0A0H2VD17,A0A0H2VD17_ECOL6,unreviewed,Probable bifunctional chitinase/lysozyme,yheB c4109,c4109,yheB,yheB,6.407185424,8.834105544,9.186090316,82.70514686,46.35393429,110.988826,3.291919732,5.473830093,64.6487582,8.95E-16,1.59E-13,yes
693,c1230,150,A0A0H2V6Z0,A0A0H2V6Z0_ECOL6,unreviewed,MchD protein,mchD c1230,c1230,mchD,mchD,2.590138788,2.415079214,3.021740235,23.15975132,19.44818063,19.47172386,2.957453384,3.578546084,63.64239049,1.49E-15,2.51E-13,yes
1771,c3176,88,A0A0H2V9Y4,A0A0H2V9Y4_ECOL6,unreviewed,GnsB protein,c3176,c3176,,c3176,12.95069394,18.1130941,17.16348454,98.93429928,132.4815914,114.8831708,2.838892653,6.042643226,63.07274976,1.99E-15,3.18E-13,yes
1773,c3178,52,A0A0H2VC73,A0A0H2VC73_ECOL6,unreviewed,Uncharacterized protein,c3178,c3178,,c3178,3.135431165,2.224415065,3.263479454,37.1364591,33.92464592,16.6483239,3.360654425,4.026741641,61.08267348,5.47E-15,8.32E-13,yes
2494,c4423,227,A0A0H2VBX8,A0A0H2VBX8_ECOL6,unreviewed,Uncharacterized protein,c4423,c4423,,c4423,0.136323094,0.063554716,0.120869609,3.465299449,5.556623038,2.628682721,5.14352682,1.097581012,60.80182031,6.31E-15,9.16E-13,yes
2380,c4208,265,A0A0H2VBH1,A0A0H2VBH1_ECOL6,unreviewed,Putative fimbrial chaperone,c4208,c4208,,c4208,0,0.063554716,0,3.234279486,7.311346102,2.141889625,6.607791084,1.145020478,60.19277405,8.60E-15,1.19E-12,yes
191,c0325,326,A0A0H2V6C6,A0A0H2V6C6_ECOL6,unreviewed,Uncharacterized protein,c0325,c0325,,c0325,0.817938565,1.779532052,1.813044141,20.09873681,60.39171881,16.1615308,4.412072779,4.067167832,59.83139756,1.03E-14,1.37E-12,yes
2381,c4209,185,A0A0H2VBW5,A0A0H2VBW5_ECOL6,unreviewed,Putative minor fimbrial subunit,c4209,c4209,,c4209,0.272646188,0.317773581,0.483478438,6.295294,13.30664991,4.18642063,4.424065108,2.072435643,57.58008588,3.24E-14,4.14E-12,yes
913,c1682,598,A0A0H2V759,A0A0H2V759_ECOL6,unreviewed,Histidine kinase (EC 2.7.13.3),narX c1682,c1682,narX,narX,22.76595672,22.37126008,20.78957282,3.118769504,3.216992285,3.699627533,-2.713789346,3.678239363,57.36776922,3.61E-14,4.44E-12,yes
53,c0093,314,A0A0H2V5V3,A0A0H2V5V3_ECOL6,unreviewed,Probable activator protein in leuABCD operon,leuO c0093,c0093,leuO,leuO,2.3174926,1.588867904,1.933913751,18.59710705,13.89155759,13.92228256,3.014082491,3.168123766,56.7703933,4.90E-14,5.79E-12,yes
1340,c2408,193,A0A0H2V8C2,A0A0H2V8C2_ECOL6,unreviewed,Uncharacterized protein,c2408,c2408,,c2408,0.545292376,0.889766026,0.120869609,6.930598899,6.726438414,5.5494413,3.454379946,1.887827503,55.99374119,7.27E-14,8.29E-12,yes
1041,c1936,203,A0A0H2V7G1,A0A0H2V7G1_ECOL6,unreviewed,"Type-1 fimbrial protein, A chain",c1936,c1936,,c1936,0.817938565,3.431954672,2.17565297,18.65486204,17.10854988,32.12834437,3.339093612,3.661989028,49.04178639,2.51E-12,2.76E-10,yes
184,c0307,263,A0A0H2V507,A0A0H2V507_ECOL6,unreviewed,Uncharacterized protein,c0307,c0307,,c0307,6.27086233,7.563011221,10.39478641,43.02746816,101.9201647,46.24534417,2.97578911,5.165903503,48.60527346,3.13E-12,3.33E-10,yes
682,c1204,129,A0A0H2V6W0,A0A0H2V6W0_ECOL6,unreviewed,Uncharacterized protein,c1204,c1204,,c1204,8.861001118,15.18957716,11.72435211,90.50207062,50.00960734,85.18879188,2.649842027,5.458015622,48.42117025,3.44E-12,3.54E-10,yes
1595,c2883,884,A0A0H2V9D4,A0A0H2V9D4_ECOL6,unreviewed,Putative outer membrane protein,yfcU c2883,c2883,yfcU,yfcU,0.817938565,0.82621131,1.450435313,8.43222866,13.89155759,6.036234396,3.19374831,2.420353791,45.72377669,1.36E-11,1.36E-09,yes
2914,c5187,NA,NA,NA,NA,NA,NA,NA,NA,papH_2,12.26907847,9.088324409,10.39478641,1.212854807,1.754723065,2.044531005,-2.681873789,2.63588629,45.46324606,1.56E-11,1.50E-09,yes
666,c1166,605,A0A0H2V821,A0A0H2V821_ECOL6,unreviewed,Uncharacterized protein,c1166,c1166,,c1166,14.45024798,15.50735074,18.37218063,87.96085102,174.8873988,68.92990246,2.777053299,5.985865835,44.49610445,2.55E-11,2.39E-09,yes
3055,c5444,241,A0A0H2VDT0,A0A0H2VDT0_ECOL6,unreviewed,Uncharacterized protein,yjjQ c5444,c5444,yjjQ,yjjQ,0.136323094,0.254218865,0.362608828,4.678154257,3.363219207,2.336606863,3.723874295,1.085142586,44.23107165,2.92E-11,2.66E-09,yes
1772,c3177,70,P0A987,CSPI_ECOL6,reviewed,Cold shock-like protein CspI (CPS-I),cspI c3177,c3177,cspI,cspI,4.6349852,3.050626375,2.659131407,39.6776787,22.66517292,14.89586875,2.912268044,3.90299594,42.71724191,6.33E-11,5.46E-09,yes
2001,c3619,1295,Q8FDW4,SAT_ECOL6,reviewed,Serine protease sat autotransporter (EC 3.4.21.-) [Cleaved into: Serine protease sat (Secreted autotransporter toxin sat); Serine protease sat translocator],sat c3619,c3619,sat,sat,39.67002039,34.89153916,32.27218571,165.7568237,269.0575366,173.2983423,2.508411985,6.897883255,42.71773287,6.32E-11,5.46E-09,yes
245,c0435,364,A0A0H2V4P1,A0A0H2V4P1_ECOL6,unreviewed,Uncharacterized protein,c0435,c0435,,c0435,6.134539235,6.92746406,6.768698127,31.47647,129.7032799,40.30646839,3.337860106,5.199290571,42.49799071,7.08E-11,5.95E-09,yes
3181,NA,NA,NA,NA,NA,NA,NA,NA,NA,papB,21.81169506,19.06641484,22.36087774,3.811829394,3.363219207,5.257365442,-2.33627246,3.670242189,41.87357337,9.74E-11,7.97E-09,yes
2766,c4894,286,A0A0H2VFI2,A0A0H2VFI2_ECOL6,unreviewed,Nucleoside-specific channel-forming protein tsx,c4894,c4894,,c4894,0.136323094,0.317773581,0.483478438,3.349789468,4.094353817,2.531324102,3.325932368,1.005962764,41.79231661,1.02E-10,8.10E-09,yes
1439,c2638,180,A0A0H2VA88,A0A0H2VA88_ECOL6,unreviewed,Uncharacterized protein,yehD c2638,c2638,yehD,yehD,8.58835493,6.609690479,6.406089299,52.73030662,35.09446129,26.67626169,2.411827858,4.523573012,40.21712051,2.27E-10,1.77E-08,yes
204,c0361,715,A0A0H2V4J2,A0A0H2V4J2_ECOL6,unreviewed,Putative cytoplasmic membrane export protein,c0361,c0361,,c0361,6.134539235,5.402150872,6.526958909,49.66929211,23.68876137,26.67626169,2.47683053,4.327125191,39.82567534,2.78E-10,2.11E-08,yes
694,c1231,424,A0A0H2V611,A0A0H2V611_ECOL6,unreviewed,Microcin H47 secretion protein,mchE c1231,c1231,mchE,mchE,1.363230941,3.050626375,2.296522579,15.30507257,10.08965762,16.35624804,2.596193953,3.069200959,38.83853218,4.60E-10,3.42E-08,yes
701,c1240,174,A0A0H2V651,A0A0H2V651_ECOL6,unreviewed,Putative minor F1C fimbrial subunit,sfaD c1240,c1240,sfaD,sfaD,20.99375649,24.405011,29.12957587,3.869584385,3.655673051,6.91246197,-2.363307705,3.904838867,38.71594824,4.90E-10,3.48E-08,yes
702,c1241,227,P62610,FOCC_ECOL6,reviewed,Chaperone protein FocC,focC c1241,c1241,focC,focC,18.81258699,19.06641484,23.32783462,3.234279486,2.485857675,5.5494413,-2.427272225,3.610825405,38.72231777,4.89E-10,3.48E-08,yes
3182,NA,NA,NA,NA,NA,NA,NA,NA,NA,papB2,21.26640268,21.48149406,21.8773993,3.985094367,3.363219207,6.230951635,-2.241441408,3.72083248,36.73432067,1.35E-09,9.40E-08,yes
1438,c2637,224,A0A0H2V8U9,A0A0H2V8U9_ECOL6,unreviewed,Hypothetical fimbrial chaperone yehC,yehC c2637,c2637,yehC,yehC,2.181169506,2.224415065,1.208696094,13.05262793,10.52833839,7.691330924,2.458114166,2.682033787,35.57654004,2.45E-09,1.67E-07,yes
692,c1229,516,A0A0H2V641,A0A0H2V641_ECOL6,unreviewed,MchC protein,mchC c1229,c1229,mchC,mchC,16.2224482,20.01973559,28.76696704,124.4620052,77.06158792,99.98730202,2.214151287,5.940621517,35.37254163,2.72E-09,1.81E-07,yes
2228,c3998,309,P67663,AAER_ECOL6,reviewed,HTH-type transcriptional activator AaeR,aaeR c3998,c3998,aaeR,yhcS,7.361447083,4.44883013,5.076523596,1.212854807,0.438680766,1.070944812,-2.509219109,1.757255243,34.0218658,5.45E-09,3.55E-07,yes
1650,c2998,118,A0A0H2VAW3,A0A0H2VAW3_ECOL6,unreviewed,Protein yffB,yffB c2998,c2998,yffB,yffB,3.95336973,5.656369737,6.28521969,0.866324862,1.316042298,0.973586193,-2.379625854,1.739697965,33.5469955,6.96E-09,4.36E-07,yes
3005,c5333,450,A0A0H2VGD6,A0A0H2VGD6_ECOL6,unreviewed,PmbA protein,pmbA c5333,c5333,pmbA,pmbA,68.02522397,66.85956139,63.45654495,14.84303264,12.5755153,22.1977652,-1.995865329,5.374394843,33.54457279,6.96E-09,4.36E-07,yes
1040,c1934,883,A0A0H2V7M2,A0A0H2V7M2_ECOL6,unreviewed,Outer membrane usher protein fimD,c1934,c1934,,c1934,0.681615471,0.508437729,0.483478438,2.310199633,7.16511918,5.452082681,3.124661995,1.50065855,33.0529393,8.97E-09,5.51E-07,yes
2783,c4925,438,A0A0H2VD94,A0A0H2VD94_ECOL6,unreviewed,Putative citrate permease,c4925,c4925,,c4925,0.817938565,1.334649039,1.450435313,5.313459156,5.410396116,9.73586193,2.469526696,2.080064567,32.67661529,1.09E-08,6.56E-07,yes
1039,c1930,759,Q8FHF8,YDEP_ECOL6,reviewed,Protein YdeP,ydeP c1930,c1930,ydeP,ydeP,0.408969282,1.016875458,0.966956875,4.273869321,3.801899973,5.452082681,2.420194807,1.530788366,31.57303958,1.92E-08,1.14E-06,yes
2907,c5180,NA,NA,NA,NA,NA,NA,NA,NA,papF_2,5.589246859,4.703048995,5.318262814,1.328364789,0.877361532,1.070944812,-2.18233285,1.718726254,31.5106373,1.98E-08,1.15E-06,yes
681,c1203,352,A0A0H2V620,A0A0H2V620_ECOL6,unreviewed,Putative O-methyltransferase,c1203,c1203,,c1203,19.76684865,18.24020353,18.13044141,82.12759695,49.42469965,70.87707485,1.852499842,5.440165283,29.81358819,4.76E-08,2.71E-06,yes
618,c1071,362,A0A0H2V5Q9,A0A0H2V5Q9_ECOL6,unreviewed,Outer membrane protein F,ompF c1071,c1071,ompF,ompF,408.9692824,419.5246813,512.9706224,1904.817352,1379.943463,2298.637002,2.057368156,10.17297149,29.54481269,5.46E-08,3.06E-06,yes
1651,c2999,375,Q8FF82,DAPE_ECOL6,reviewed,"Succinyl-diaminopimelate desuccinylase (SDAP desuccinylase) (EC 3.5.1.18) (N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase)",dapE c2999,c2999,dapE,dapE,55.7561455,50.90732763,50.16088791,14.03446277,16.37741527,16.55096528,-1.741199503,5.091357264,29.46997027,5.68E-08,3.13E-06,yes
695,c1232,704,A0A0H2V648,A0A0H2V648_ECOL6,unreviewed,Probable microcin H47 secretion ATP-binding protein,mchF c1232,c1232,mchF,mchF,7.634093271,9.40609799,9.306959925,30.37912517,25.8821652,51.21063375,2.024580269,4.495898639,29.08910739,6.91E-08,3.74E-06,yes
221,c0392,174,A0A0H2V579,A0A0H2V579_ECOL6,unreviewed,Uncharacterized protein,c0392,c0392,,c0392,0.545292376,0.317773581,0.604348047,2.77223956,3.216992285,2.433965482,2.574677865,0.871222761,28.87670614,7.71E-08,4.10E-06,yes
329,c0578,72,P0ACE4,HHA_ECOL6,reviewed,Hemolysin expression-modulating protein Hha,hha c0578,c0578,hha,hha,7.770416365,10.04164515,8.34000305,31.76524495,34.07087284,25.99475135,1.802888275,4.312979596,28.58049791,8.99E-08,4.70E-06,yes
2915,c5188,198,A0A0H2VF07,A0A0H2VF07_ECOL6,unreviewed,PapA protein,papA_2 c5188,c5188,papA_2,papA_2,637.310465,561.4423624,555.2749857,103.0926586,182.9298795,108.3601433,-2.15381416,8.48444607,28.49764451,9.38E-08,4.83E-06,yes
109,c0172,204,A0A0H2V473,A0A0H2V473_ECOL6,unreviewed,Hypothetical fimbrial-like protein yadN,yadN c0172,c0172,yadN,yadN,0.545292376,0.381328297,0.362608828,2.310199633,5.264169194,2.239248244,2.884648029,0.963338815,28.09902394,1.15E-07,5.84E-06,yes
707,c1246,246,A0A0H2V656,A0A0H2V656_ECOL6,unreviewed,Uncharacterized protein,c1246,c1246,,c1246,19.08523318,16.20645262,24.65740032,6.006519046,3.216992285,5.841517158,-1.965722295,3.658843878,27.06225897,1.97E-07,9.83E-06,yes
706,c1245,336,A0A0H2V868,A0A0H2V868_ECOL6,unreviewed,F1C Putative fimbrial adhesin,focH c1245,c1245,focH,focH,23.174926,23.38813554,25.26174837,6.757333926,3.070765363,8.080765402,-1.981397003,3.919427563,26.43154906,2.73E-07,1.34E-05,yes
1982,c3589,201,A0A0H2VAR1,A0A0H2VAR1_ECOL6,unreviewed,PapD protein,papD c3589,c3589,papD,papD,8.861001118,7.499456505,9.790438363,2.425709615,2.193403831,2.531324102,-1.852286255,2.504557491,26.23600731,3.02E-07,1.46E-05,yes
705,c1244,167,A0A0H2V658,A0A0H2V658_ECOL6,unreviewed,F1C minor fimbrial subunit protein G presursor,focG c1244,c1244,focG,focG,13.35966322,18.36731297,18.61391985,4.21611433,2.193403831,5.744158539,-2.028086249,3.409418231,25.95507745,3.49E-07,1.64E-05,yes
2379,c4207,336,A0A0H2VD65,A0A0H2VD65_ECOL6,unreviewed,Putative fimbrial adhesin,c4207,c4207,,c4207,0.545292376,0.317773581,0.846087266,2.945504532,5.264169194,2.336606863,2.659889143,1.111856167,25.95212447,3.50E-07,1.64E-05,yes
1172,c2165,266,A0A0H2VA38,A0A0H2VA38_ECOL6,unreviewed,Uncharacterized protein,c2165,c2165,,c2165,1.226907847,1.398203755,1.450435313,5.891009064,4.97171535,4.575855107,1.9138908,1.802771181,25.64064077,4.11E-07,1.90E-05,yes
1326,c2383,375,A0A0H2V8F6,A0A0H2V8F6_ECOL6,unreviewed,Outer membrane protein N,c2383,c2383,,c2383,0.545292376,1.461758471,1.208696094,4.273869321,5.410396116,4.673213726,2.061330427,1.644186393,25.01887315,5.68E-07,2.55E-05,yes
1975,c3584,NA,NA,NA,NA,NA,NA,NA,NA,papF,6.816154706,4.830158427,6.043480471,1.617139743,1.900949987,1.168303432,-1.911801547,1.938681688,25.02155713,5.67E-07,2.55E-05,yes
703,c1242,892,A0A0H2V6Z7,A0A0H2V6Z7_ECOL6,unreviewed,F1C fimbrial usher,focD c1242,c1242,focD,focD,84.52031836,95.01430064,124.2539585,23.56403626,23.54253445,39.52759943,-1.809332697,6.02712157,24.60089837,7.05E-07,3.13E-05,yes
2302,c4094,489,A0A0H2VBP7,A0A0H2VBP7_ECOL6,unreviewed,Probable general secretion pathway protein A,yheD c4094,c4094,yheD,yheD,2.726461882,5.592815021,4.834784377,15.88262248,23.39630753,13.04605499,1.963927778,3.468271135,24.32742318,8.13E-07,3.55E-05,yes
700,c1239,180,P62606,FIM1C_ECOL6,reviewed,"Type-1 fimbrial protein, C chain (Type-1C pilin)",pilC focA c1239,c1239,"pilC,focA",focA,877.5117569,824.3046684,1008.656891,249.7903353,190.0949987,303.9536094,-1.865178181,9.169566857,24.05628954,9.36E-07,4.04E-05,yes
2661,c4720,51,A0A0H2VFA2,A0A0H2VFA2_ECOL6,unreviewed,Uncharacterized protein,c4720,c4720,,c4720,0.272646188,0.82621131,0.604348047,2.887749541,2.924538441,2.82339996,2.203059723,0.959092056,23.91292489,1.01E-06,4.29E-05,yes
1984,c3591,NA,NA,NA,NA,NA,NA,NA,NA,papH,12.67804775,8.770550828,7.493915784,1.501629761,1.900949987,3.504910295,-2.069171572,2.603796384,23.6377102,1.16E-06,4.89E-05,yes
732,c1302,216,A0A0H2V8A9,A0A0H2V8A9_ECOL6,unreviewed,Probable csgAB operon transcriptional Regulatory protein,csgD c1302,c1302,csgD,csgD,0.545292376,1.715977336,0.846087266,6.584068954,4.97171535,3.699627533,2.189717124,1.743479772,23.44532803,1.29E-06,5.33E-05,yes
3034,c5393,201,A0A0H2VGH0,A0A0H2VGH0_ECOL6,unreviewed,"Type-1 fimbrial protein, A chain",fimA c5393,c5393,fimA,fimA,10.36055515,13.28293567,13.90000508,2.945504532,4.825488428,2.920758579,-1.840016295,3.033523284,23.29601522,1.39E-06,5.69E-05,yes
691,c1227,75,P62531,MCHB_ECOL6,reviewed,Microcin H47 (MccH47),mchB c1227,c1227,mchB,mchB,23.03860291,35.33642218,39.64523189,115.5099816,79.40121867,150.6137841,1.816575301,6.213958365,22.75774645,1.84E-06,7.43E-05,yes
1334,c2398,307,A0A0H2V8B5,A0A0H2V8B5_ECOL6,unreviewed,Uncharacterized protein,c2398,c2398,,c2398,17.44935605,19.82907144,17.40522376,57.23519591,113.4720915,39.52759943,1.938481398,5.465720279,22.7252309,1.87E-06,7.46E-05,yes
1380,c2485,429,A0A0H2V8P1,A0A0H2V8P1_ECOL6,unreviewed,Uncharacterized protein,c2485,c2485,,c2485,28.35520358,27.51919209,30.58001118,80.39494723,131.0193222,67.66424041,1.689221261,5.930987823,21.78970544,3.04E-06,0.000119926,yes
678,c1200,85,A0A0H2V5Z0,A0A0H2V5Z0_ECOL6,unreviewed,Putative acyl carrier protein,c1200,c1200,,c1200,5.316600671,4.258165982,2.900870626,16.22915242,9.943430699,17.32983423,1.808374254,3.26620057,21.65018106,3.27E-06,0.0001274,yes
1607,c2897,209,A0A0H2V9E4,A0A0H2V9E4_ECOL6,unreviewed,Type 1 fimbriae Regulatory protein fimB,c2897,c2897,,c2897,1.772200224,2.351524497,2.900870626,7.04610888,9.943430699,7.009820589,1.750603175,2.413187005,21.11501809,4.33E-06,0.000166392,yes
704,c1243,175,A0A0H2V619,A0A0H2V619_ECOL6,unreviewed,F1C minor fimbrial subunit F,focF c1243,c1243,focF,focF,13.9049556,15.06246773,21.99826891,4.562644275,2.047176909,6.523027493,-1.931563304,3.438725283,20.89879572,4.84E-06,0.000184053,yes
2074,c3766,245,A0A0H2VB73,A0A0H2VB73_ECOL6,unreviewed,Uncharacterized protein,c3766,c3766,,c3766,2.3174926,1.207539607,1.329565704,7.277128844,6.872665336,3.894344772,1.931896383,2.006925352,20.82358354,5.04E-06,0.000189172,yes
1911,c3483,957,Q8FE67,GCSP_ECOL6,reviewed,Glycine dehydrogenase (decarboxylating) (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring)),gcvP c3483,c3483,gcvP,gcvP,49.75792935,33.55689013,33.48088181,13.63017783,6.872665336,14.50643428,-1.725149755,4.668458816,20.69219081,5.39E-06,0.000200251,yes
205,c0362,420,A0A0H2V4J7,A0A0H2V4J7_ECOL6,unreviewed,Putative membrane spanning export protein,c0362,c0362,,c0362,11.587463,12.01184135,14.1417443,49.32276216,27.92934211,34.27023399,1.566777715,4.655496098,19.78465635,8.67E-06,0.00031811,yes
2912,c5185,244,A0A0H2VDP6,A0A0H2VDP6_ECOL6,unreviewed,PapD protein,papD_2 c5185,c5185,papD_2,papD_2,10.22423206,8.135003667,12.32870016,3.465299449,2.778311519,3.407551675,-1.646188767,2.774368471,19.73393121,8.90E-06,0.000322954,yes
2014,c3639,305,Q8FDU7,NANA2_ECOL6,reviewed,N-acetylneuraminate lyase 2 (NAL 2) (Neu5Ac lyase 2) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase 2) (N-acetylneuraminic acid aldolase 2) (Sialate lyase 2) (Sialic acid aldolase 2) (Sialic acid lyase 2),nanA2 c3639,c3639,nanA2,c3639,5.316600671,7.690120654,9.790438363,15.42058255,31.87746901,29.98645474,1.752103396,4.068240901,19.17833317,1.19E-05,0.000427134,yes
1169,c2158,440,A0A0H2V7T0,A0A0H2V7T0_ECOL6,unreviewed,Sulfurtransferase,c2158,c2158,,c2158,23.44757219,14.87180358,10.2739168,6.468558972,2.485857675,3.407551675,-1.936313992,3.36542723,19.14891815,1.21E-05,0.000428948,yes
2013,c3638,291,Q8FDU8,NANK2_ECOL6,reviewed,N-acetylmannosamine kinase (EC 2.7.1.60) (ManNAc kinase) (N-acetyl-D-mannosamine kinase),nanK2 c3638,c3638,nanK2,c3638,0.954261659,1.970196201,2.417392188,4.158359339,8.627388401,7.691330924,1.8929469,2.144717124,18.74568525,1.49E-05,0.000524076,yes
2010,c3635,246,A0A0H2VC71,A0A0H2VC71_ECOL6,unreviewed,Uncharacterized protein,c3635,c3635,,c3635,0.817938565,0.953320742,2.05478336,3.465299449,6.287757648,4.867930965,1.927838709,1.674930737,18.69307498,1.54E-05,0.000532881,yes
679,c1201,279,A0A0H2V621,A0A0H2V621_ECOL6,unreviewed,Putative phospholipid biosynthesis acyltransferase,c1201,c1201,,c1201,3.95336973,3.940392401,3.384349064,16.63343736,8.481161479,11.0988826,1.689424715,3.043728755,18.64663164,1.57E-05,0.000540149,yes
583,c1025,361,A0A0H2V5S0,A0A0H2V5S0_ECOL6,unreviewed,Thioredoxin reductase (EC 1.8.1.9),trxB c1025,c1025,trxB,trxB,29.17314214,39.91236174,25.6243572,9.183043541,8.919842245,14.40907566,-1.54347171,4.421807794,18.35169332,1.84E-05,0.000623843,yes
1524,c2781,452,A0A0H2V903,A0A0H2V903_ECOL6,unreviewed,Glycerol-3-phosphate transporter,glpT c2781,c2781,glpT,glpT,16.90406367,23.32458083,12.8121786,40.02420864,102.7975262,43.51930283,1.804987527,5.318860578,18.1032809,2.09E-05,0.000703269,yes
1678,c3031,735,A0A0H2VAY3,A0A0H2VAY3_ECOL6,unreviewed,SinH homolog,c3031,c3031,,c3031,3.135431165,3.177735807,4.351305939,14.26548273,12.72174222,7.399255067,1.693164135,2.951673211,17.92366693,2.30E-05,0.000764803,yes
2018,c3655,1042,A0A0H2VAW5,A0A0H2VAW5_ECOL6,unreviewed,Antigen 43,c3655,c3655,,c3655,9.815262777,8.135003667,104.5522121,5.024684202,4.094353817,3.796986153,-3.238284363,4.492565321,17.89951382,2.33E-05,0.000766585,yes
